GEO,Legis,@Map,POP,0-4,5 to 17,18-34,35-64,65+,White,Black,AIAN,Asian,NHPI,Oth,Tworace,bipoc,Hisp,NoHS,HS,SmCol,Bach,LFP,Pov,nearpov,deeppov,ownb,rentb,med,nohi,SNAP,OASDI,0-4r,5-17r,18-34r,35-64r,65+r,Whiter,Blackr,AIANr,Asianr,NHPIr,Othr,Tworacer,bipocr,Hispr,NoHSr,HSr,SmColr,Bachr,LFPr,Povr,nearpovr,deeppovr,Ownbr,rentbr,medr,nohir,SNAPr,OASDIr
House District 17,Representative Thomas Patton,HD17.jpg,"124,244","7,254","18,116","23,003","48,734","27,137","107,641","4,257",182,"5,873",29,929,"5,333","19,242","5,788","5,336","22,146","24,771","38,852","65,870","8,887","22,278","3,370","7,050","4,855","12,526","4,447","3,559","18,805",5.80%,14.60%,18.50%,39.20%,21.80%,86.60%,3.40%,0.20%,5.00%,<0.05%,0.80%,4.60%,15.50%,4.70%,5.90%,24.30%,27.20%,42.60%,65.70%,7.20%,18.10%,2.70%,17.60%,39.70%,10.20%,3.60%,6.70%,35.30%
House District 18,Representative Darnell Brewer,HD18.jpg,"123,786","8,292","19,849","26,301","47,475","21,869","24,030","92,682",118,689,5,"1,509","4,753","100,478","3,241","11,767","30,288","31,427","12,264","58,157","34,134","62,600","16,380","6,693","13,949","47,186","7,208","15,679","18,793",6.70%,16.00%,21.20%,38.40%,17.70%,19.40%,74.90%,0.10%,0.60%,<0.05%,1.30%,4.10%,81.20%,2.60%,13.70%,35.30%,36.70%,14.30%,59.40%,27.80%,51.00%,13.40%,24.70%,56.00%,38.30%,5.90%,28.40%,34.10%
House District 19,Representative Phil Robinson,HD19.jpg,"121,698","6,349","18,550","21,093","49,505","26,201","81,378","26,696",71,"6,312",77,928,"6,236","41,935","4,030","4,568","20,769","22,365","41,207","64,186","9,334","21,482","4,532","7,029","6,223","13,079","4,375","3,668","17,179",5.20%,15.20%,17.30%,40.70%,21.50%,66.90%,21.90%,0.10%,5.40%,0.10%,0.80%,5.30%,34.50%,3.30%,5.10%,23.40%,25.20%,46.30%,65.10%,7.70%,17.80%,3.80%,19.90%,39.70%,10.80%,3.60%,7.00%,32.80%
House District 20,Representative Terrence Upchurch,HD20.jpg,"122,696","7,131","18,679","40,015","42,090","14,781","37,403","70,150",548,"4,862",24,"2,929","6,780","89,565","9,994","15,733","23,891","22,123","20,093","54,223","44,663","70,156","22,271","3,942","17,505","53,182","7,627","19,875","13,745",5.80%,15.20%,32.60%,34.30%,12.00%,30.50%,57.20%,0.50%,4.20%,<0.05%,2.50%,5.80%,73.00%,8.10%,19.20%,29.20%,27.00%,24.60%,60.10%,38.80%,60.90%,19.30%,25.40%,49.30%,44.70%,6.40%,35.70%,24.70%
House District 21,Representative Elliott Forhan,HD21.jpg,"127,380","6,923","18,752","26,061","50,467","25,177","59,426","59,735",105,"2,792",13,"1,373","3,936","69,266","2,366","6,445","23,791","28,439","32,134","64,223","20,109","41,774","9,027","6,729","12,729","27,416","6,541","9,691","18,751",5.40%,14.70%,20.50%,39.60%,19.80%,46.70%,46.90%,0.10%,2.40%,<0.05%,1.20%,3.40%,54.40%,1.90%,7.10%,26.20%,31.30%,35.40%,63.20%,16.10%,33.50%,7.20%,20.80%,53.40%,21.80%,5.20%,16.80%,32.40%
House District 22,Representative Juanita Brent,HD22.jpg,"126,861","7,841","20,484","30,834","43,164","24,538","50,675","67,071",158,"3,953",54,"1,081","3,869","77,929","3,091","5,679","16,332","22,388","40,921","63,608","21,419","41,589","10,980","6,678","11,060","26,810","5,069","8,799","16,655",6.20%,16.10%,24.30%,34.00%,19.30%,39.90%,52.90%,0.10%,3.40%,<0.05%,0.90%,3.30%,61.40%,2.40%,6.70%,19.10%,26.20%,48.00%,64.80%,17.40%,33.70%,8.90%,23.10%,47.80%,21.30%,4.00%,16.30%,30.80%
House District 23,Representative Dan Troy,HD23.jpg,"122,998","5,521","16,449","26,201","49,099","25,728","103,660","12,602",50,"2,163",19,586,"3,918","20,714","2,713","5,378","28,459","29,983","27,046","69,241","8,450","26,749","3,782","6,608","6,757","13,662","5,906","3,636","19,060",4.50%,13.40%,21.30%,39.90%,20.90%,84.30%,10.20%,0.00%,1.90%,<0.05%,0.50%,3.40%,16.80%,2.20%,5.90%,31.30%,33.00%,29.80%,67.30%,6.90%,22.00%,3.10%,17.30%,41.90%,11.20%,4.80%,6.60%,34.30%
House District 24,Representative Dani Isaacsohn,HD24.jpg,"127,649","9,574","20,267","40,166","44,856","12,786","68,501","46,460",172,"2,726",14,"2,179","7,597","62,270","6,330","10,559","21,987","20,584","28,895","68,422","32,943","60,512","15,183","4,033","15,191","38,066","11,547","11,749","11,483",7.50%,15.90%,31.50%,35.10%,10.00%,53.70%,36.40%,0.10%,2.30%,<0.05%,1.90%,6.50%,48.80%,5.00%,12.90%,26.80%,25.10%,35.20%,69.60%,26.20%,48.10%,12.10%,19.30%,44.40%,30.10%,9.10%,20.50%,20.10%
House District 25,Representative Cecil Thomas,HD25.jpg,"116,026","7,194","17,081","41,656","36,817","13,278","61,838","44,052",51,"3,443",232,"1,542","4,868","56,670","5,193","7,835","19,902","18,833","23,319","57,845","28,787","52,345","15,439","4,417","14,872","28,491","8,305","8,960","10,883",6.20%,14.70%,35.90%,31.70%,11.40%,53.30%,38.00%,0.00%,3.00%,0.20%,1.30%,4.20%,48.80%,4.50%,11.20%,28.50%,26.90%,33.40%,67.50%,26.70%,48.50%,14.30%,23.70%,52.20%,24.90%,7.20%,18.30%,22.20%
House District 26,Representative Sedrick Denson,HD26.jpg,"119,194","7,213","18,220","27,775","46,057","19,929","62,111","47,296",148,"2,455",-,"1,129","6,055","58,348","3,206","6,626","19,373","24,064","35,751","64,427","16,987","33,928","8,896","7,054","8,854","22,312","4,842","6,306","15,331",6.10%,15.30%,23.30%,38.60%,16.70%,52.10%,39.70%,0.10%,2.10%,-,1.00%,5.20%,49.00%,2.70%,7.70%,22.60%,28.00%,41.70%,67.90%,14.40%,28.80%,7.60%,22.60%,42.90%,18.90%,4.10%,11.80%,28.70%
House District 27,Representative Rachel Baker,HD27.jpg,"121,587","7,483","22,511","23,843","47,464","20,286","92,601","19,344",124,"4,154",16,"1,007","4,341","31,700","4,656","4,080","13,230","17,868","48,530","63,823","12,091","24,042","6,715","5,837","6,973","12,780","5,263","4,325","13,548",6.20%,18.50%,19.60%,39.00%,16.70%,76.20%,15.90%,0.10%,3.60%,<0.05%,0.90%,3.70%,26.10%,3.80%,4.90%,15.80%,21.30%,58.00%,68.00%,10.00%,19.90%,5.60%,17.60%,44.90%,10.60%,4.40%,8.60%,27.00%
House District 28,Representative Jessica Miranda,HD28.jpg,"121,975","8,348","19,008","23,651","47,207","23,761","85,389","22,170",105,"6,409",193,"2,417","5,292","40,272","6,860","5,472","20,601","20,224","40,214","63,672","8,287","23,784","3,993","6,327","6,908","13,104","6,260","2,475","17,091",6.80%,15.60%,19.40%,38.70%,19.50%,70.00%,18.20%,0.10%,5.50%,0.20%,2.10%,4.50%,33.00%,5.60%,6.30%,23.80%,23.40%,46.50%,66.60%,6.90%,19.80%,3.30%,18.90%,43.10%,10.90%,5.20%,4.90%,33.70%
House District 29,Representative Cindy Abrams,HD29.jpg,"112,794","7,001","20,576","23,531","43,540","18,146","80,544","24,556",175,"2,061",25,558,"4,875","33,097","1,690","6,092","26,354","24,795","19,986","58,392","12,830","29,918","5,639","5,438","4,991","19,598","5,758","4,015","13,998",6.20%,18.20%,20.90%,38.60%,16.10%,71.40%,21.80%,0.20%,1.80%,<0.05%,0.50%,4.20%,29.30%,1.50%,7.90%,34.10%,32.10%,25.90%,67.40%,11.60%,26.90%,5.10%,17.30%,43.70%,17.50%,5.10%,9.20%,32.10%
House District 30,Representative Bill Seitz,HD30.jpg,"107,565","6,241","20,569","20,906","41,101","18,748","96,386","6,530",15,"1,099",11,341,"3,183","12,516","1,799","4,344","23,209","21,114","24,685","56,415","8,359","23,220","3,947","5,129","3,507","12,220","4,408","2,598","13,149",5.80%,19.10%,19.40%,38.20%,17.40%,89.60%,6.10%,0.00%,0.90%,<0.05%,0.30%,2.70%,11.60%,1.70%,5.90%,31.60%,28.80%,33.70%,68.50%,7.90%,22.00%,3.70%,15.40%,44.90%,11.50%,4.10%,6.20%,31.50%
House District 31,Representative Bill Roemer,HD31.jpg,"119,386","5,671","19,318","19,542","50,379","24,476","97,100","11,442",116,"5,919",26,558,"4,225","23,870","2,867","3,657","20,346","22,828","40,431","64,526","6,078","15,532","3,361","6,848","3,010","7,464","3,953","1,877","16,338",4.80%,16.20%,16.40%,42.20%,20.50%,81.30%,9.60%,0.10%,5.10%,<0.05%,0.50%,3.60%,20.00%,2.40%,4.20%,23.30%,26.20%,46.30%,67.40%,5.20%,13.30%,2.90%,16.80%,42.40%,6.40%,3.40%,3.90%,33.60%
House District 32,Representative Bob Young,HD32.jpg,"127,084","6,762","21,173","27,675","49,811","21,663","104,798","14,283",163,"1,413",-,733,"5,694","23,941","2,554","8,154","33,043","28,516","19,081","64,633","18,469","43,276","8,378","5,696","8,219","28,398","7,191","9,401","17,742",5.30%,16.70%,21.80%,39.20%,17.00%,82.50%,11.20%,0.10%,1.20%,-,0.60%,4.90%,18.80%,2.00%,9.20%,37.20%,32.10%,21.50%,64.40%,14.80%,34.60%,6.70%,16.80%,45.80%,22.60%,5.70%,17.50%,33.10%
House District 33,Representative Tavia Galonski,HD33.jpg,"122,950","8,260","18,980","32,939","44,728","18,043","61,334","44,500",272,"7,105",37,"1,157","8,545","63,115","4,424","10,525","26,142","26,185","18,411","60,693","30,284","60,403","12,976","5,110","13,412","41,998","10,554","14,391","15,673",6.70%,15.40%,26.80%,36.40%,14.70%,49.90%,36.20%,0.20%,6.10%,<0.05%,1.00%,7.30%,51.30%,3.60%,13.00%,32.20%,32.20%,22.70%,63.80%,25.30%,50.50%,10.90%,20.60%,52.30%,34.40%,8.70%,27.30%,29.70%
House District 34,Representative Casey Weinstein,HD34.jpg,"120,582","7,244","17,762","27,261","46,970","21,345","105,174","5,473",103,"4,648",-,901,"4,283","16,529","1,972","3,114","19,695","22,356","40,902","67,053","8,917","23,041","3,585","5,437","6,321","12,005","5,511","3,736","14,743",6.00%,14.70%,22.60%,39.00%,17.70%,87.20%,4.50%,0.10%,4.00%,-,0.80%,3.70%,13.70%,1.60%,3.60%,22.90%,26.00%,47.50%,68.90%,7.50%,19.30%,3.00%,15.60%,40.10%,10.00%,4.60%,7.20%,28.50%
House District 35,Representative Steve Demetriou,HD35.jpg,"125,955","5,892","20,520","23,639","50,418","25,486","117,944","2,337",61,"1,759",40,378,"3,436","9,114","1,985","8,162","29,807","24,585","26,773","65,817","8,323","26,909","3,772","6,951","3,568","14,429","9,790","3,618","18,194",4.70%,16.30%,18.80%,40.00%,20.20%,93.60%,1.90%,0.10%,1.50%,<0.05%,0.30%,2.90%,7.20%,1.60%,9.10%,33.40%,27.50%,30.00%,64.20%,6.70%,21.50%,3.00%,17.20%,42.40%,11.50%,7.80%,7.30%,36.50%
House District 36,Representative Andrea White,HD36.jpg,"113,425","6,693","18,428","27,097","42,515","18,692","90,910","12,506",258,"2,698",31,"1,722","5,300","24,058","3,815","6,855","18,970","28,019","25,767","57,102","16,681","36,494","8,636","5,054","8,137","21,605","7,136","6,269","14,528",5.90%,16.20%,23.90%,37.50%,16.50%,80.10%,11.00%,0.20%,2.30%,<0.05%,1.50%,4.50%,21.20%,3.40%,8.60%,23.80%,35.20%,32.40%,65.10%,15.00%,32.90%,7.80%,16.60%,44.00%,19.40%,6.40%,12.60%,29.10%
House District 37,Representative Tom Young,HD37.jpg,"117,395","7,236","19,201","21,762","44,896","24,300","99,716","6,681",143,"4,905",25,962,"4,963","19,617","4,136","4,427","18,057","24,461","36,736","60,071","9,836","22,505","4,741","6,051","5,120","12,550","6,510","2,996","16,023",6.20%,16.40%,18.50%,38.20%,20.70%,84.90%,5.70%,0.10%,4.20%,<0.05%,0.80%,4.30%,16.70%,3.50%,5.30%,21.60%,29.20%,43.90%,65.10%,8.50%,19.40%,4.10%,17.80%,36.00%,10.90%,5.60%,6.10%,32.70%
House District 38,Representative Willis Blackshear,HD38.jpg,"127,815","8,381","19,842","39,284","43,940","16,368","68,324","48,755",312,"1,493",10,"2,279","6,642","62,334","6,154","11,608","24,580","27,806","15,102","54,311","32,388","60,660","15,497","4,724","13,110","43,002","11,158","12,937","15,503",6.60%,15.50%,30.70%,34.40%,12.80%,53.50%,38.10%,0.30%,1.30%,<0.05%,2.00%,5.70%,48.80%,4.80%,14.70%,31.10%,35.20%,19.10%,60.60%,27.90%,52.20%,13.30%,19.90%,51.40%,34.30%,8.90%,25.10%,30.10%
House District 39,Representative Phil Plummer,HD39.jpg,"116,236","6,708","18,729","21,932","44,565","24,302","73,560","34,392",189,"1,358",42,849,"5,846","43,544","2,450","7,760","27,132","28,281","19,186","57,790","16,179","36,315","5,649","6,368","7,262","22,811","7,375","6,858","17,805",5.80%,16.10%,18.90%,38.30%,20.90%,63.30%,29.60%,0.20%,1.20%,<0.05%,0.70%,5.00%,37.50%,2.10%,9.40%,32.90%,34.30%,23.30%,62.90%,14.20%,31.80%,4.90%,19.70%,42.00%,19.90%,6.40%,13.40%,34.90%
House District 40,Representative Rodney Creech,HD40.jpg,"121,015","6,526","21,531","23,337","47,247","22,374","106,795","7,972",134,"1,283",6,466,"4,359","15,080","1,635","5,700","31,310","28,656","18,014","61,321","9,074","28,313","4,320","6,138","3,390","16,334","6,694","3,801","16,169",5.40%,17.80%,19.30%,39.00%,18.50%,88.20%,6.60%,0.10%,1.10%,<0.05%,0.40%,3.70%,12.50%,1.40%,6.80%,37.40%,34.20%,21.50%,64.20%,7.60%,23.70%,3.60%,16.80%,33.20%,13.60%,5.60%,8.00%,33.80%
House District 41,Representative Josh Williams,HD41.jpg,"114,020","6,821","18,702","22,340","44,489","21,668","97,038","5,702",336,"2,654",56,"2,097","6,137","19,760","7,369","4,918","23,487","25,826","26,617","59,130","10,156","24,917","4,613","5,834","4,151","14,220","4,835","4,059","15,936",6.00%,16.40%,19.60%,39.00%,19.00%,85.10%,5.00%,0.30%,2.30%,<0.05%,1.80%,5.30%,17.30%,6.50%,6.10%,29.10%,31.90%,32.90%,65.70%,9.00%,22.20%,4.10%,16.90%,37.80%,12.60%,4.30%,8.80%,34.40%
House District 42,Representative Derek Merrin,HD42.jpg,"117,843","6,937","20,216","23,611","46,569","20,510","95,955","11,421",454,"1,547",190,"2,504","5,772","26,135","9,006","6,525","22,076","27,285","26,363","60,919","14,328","31,211","6,542","5,722","6,549","17,605","7,326","5,016","15,363",5.90%,17.20%,20.00%,39.50%,17.40%,81.40%,9.70%,0.40%,1.30%,0.20%,2.10%,5.00%,22.20%,7.60%,7.90%,26.80%,33.20%,32.10%,66.10%,12.30%,26.80%,5.60%,17.70%,42.50%,15.10%,6.30%,10.20%,31.30%
House District 43,Representative Michele Grim,HD43.jpg,"112,337","6,671","17,659","29,869","40,689","17,449","77,305","24,552",86,"2,000",25,"1,765","6,604","38,124","6,665","5,932","21,485","27,005","21,618","57,842","17,221","38,150","7,880","5,147","8,531","24,299","5,880","7,220","13,755",5.90%,15.70%,26.60%,36.20%,15.50%,68.80%,21.90%,0.10%,1.70%,<0.05%,1.50%,5.70%,33.90%,5.90%,7.80%,28.30%,35.50%,28.40%,66.60%,16.00%,35.40%,7.30%,19.00%,44.40%,21.70%,5.30%,15.10%,28.70%
House District 44,Representative Elgin Rogers Jr.,HD44.jpg,"115,456","8,447","20,768","28,739","41,609","15,893","60,866","40,467",338,"1,133",14,"4,417","8,221","58,669","11,393","13,055","27,407","22,870","10,763","51,662","35,233","62,447","18,811","4,752","9,948","41,473","8,858","14,138","14,558",7.30%,18.00%,24.90%,36.00%,13.80%,52.70%,35.00%,0.30%,1.00%,<0.05%,3.80%,7.10%,50.80%,9.90%,17.60%,37.00%,30.90%,14.50%,59.70%,31.10%,55.20%,16.60%,19.80%,48.50%,36.50%,7.80%,29.70%,30.60%
House District 45,Representative Jennifer Gross,HD45.jpg,"122,399","7,623","22,721","24,495","48,087","19,473","94,342","13,017",210,"7,492",-,"1,917","5,421","32,378","6,932","5,513","21,645","20,707","34,532","64,699","8,398","22,909","3,642","5,448","4,943","13,253","6,467","2,262","13,664",6.20%,18.60%,20.00%,39.30%,15.90%,77.10%,10.60%,0.20%,6.40%,-,1.60%,4.60%,26.50%,5.70%,6.70%,26.30%,25.10%,41.90%,68.30%,6.90%,18.90%,3.00%,16.10%,41.30%,10.90%,5.30%,4.80%,29.20%
House District 46,Representative Thomas Hall,HD46.jpg,"124,089","7,669","23,581","25,649","49,672","17,518","104,418","8,741",70,"2,284",15,"2,026","6,535","21,951","5,485","7,342","26,584","22,817","24,623","63,285","13,757","32,436","6,823","4,481","5,511","19,844","8,621","5,067","14,088",6.20%,19.00%,20.70%,40.00%,14.10%,84.10%,7.00%,0.10%,2.00%,<0.05%,1.70%,5.60%,17.70%,4.40%,9.00%,32.70%,28.00%,30.30%,66.10%,11.20%,26.40%,5.60%,13.90%,45.50%,16.10%,7.00%,11.10%,31.00%
House District 47,Representative Sara Carruthers,HD47.jpg,"122,619","6,912","18,548","38,985","40,811","17,363","99,901","8,623",114,"4,917",154,"1,693","7,217","26,753","6,851","7,357","27,946","19,911","17,803","56,239","19,548","40,472","10,416","5,448","7,444","22,012","7,798","5,078","13,690",5.60%,15.10%,31.80%,33.30%,14.20%,81.50%,7.00%,0.10%,4.20%,0.10%,1.50%,6.20%,21.80%,5.60%,10.10%,38.30%,27.30%,24.40%,62.20%,17.30%,35.80%,9.20%,19.90%,49.80%,18.20%,6.50%,11.50%,31.00%
House District 48,Representative Scott Oelslager,HD48.jpg,"121,238","6,413","19,726","24,947","46,107","24,045","112,059","3,700",212,885,-,436,"3,946","9,846","1,636","4,692","29,540","24,172","24,852","60,736","11,414","29,498","5,322","4,993","4,646","15,504","6,092","4,381","17,265",5.30%,16.30%,20.60%,38.00%,19.80%,92.40%,3.10%,0.20%,0.80%,-,0.40%,3.40%,8.10%,1.30%,5.60%,35.50%,29.00%,29.90%,64.30%,9.70%,25.10%,4.50%,14.30%,38.70%,12.90%,5.10%,9.10%,35.80%
